Name
Robert De Niro
Jack Nicholson
Marlon Brando
Denzel Washington
Humphrey Bogart
Daniel Day-Lewis
Clark Gable
Leonardo DiCaprio
Sidney Poitier
Gregory Peck
Tom Hanks
Spencer Tracy
Shah Rukh Khan
Cary Grant
Laurence Olivier
James Stewart
Steve McQueen
Bruce Lee
Henry Fonda
Morgan Freeman
James Cagney
Johnny Depp
Charles Chaplin
Paul Newman
Anthony Hopkins
Katharine Hepburn
Meryl Streep
Ingrid Bergman
Elizabeth Taylor
Bette Davis
Cate Blanchett
Audrey Hepburn
Kate Winslet
Halle Berry
Sophia Loren
Vivien Leigh
Marilyn Monroe
Viola Davis
Julia Roberts
Jodie Foster
Judy Garland
Catherine Deneuve
Grace Kelly
Helen Mirren
Angela Bassett
Greta Garbo
Olivia de Havilland
Setsuko Hara
Julie Andrews
Isabelle Huppert
James Dean
Al Pacino
Kirk Douglas
Marcello Mastroianni
Gene Kelly
Will Smith
Toshir� Mifune
Harrison Ford
John Wayne
Mohanlal
Gary Cooper
G�rard Depardieu
Forest Whitaker
Montgomery Clift
Dustin Hoffman
Charlton Heston
Tom Cruise
Samuel L. Jackson
Peter O'Toole
Robin Williams
Don Cheadle
Antonio Banderas
Eddie Murphy
Omar Sharif
Heath Ledger
Diane Keaton
Rita Hayworth
Natalie Wood
Joan Crawford
Susan Sarandon
Glenn Close
Joan Fontaine
Julianne Moore
Regina King
Angelina Jolie
Jane Fonda
Liv Ullmann
Natalie Portman
Sandra Bullock
Deborah Kerr
Emma Thompson
Michelle Pfeiffer
Faye Dunaway
Penelope Cruz
Nicole Kidman
Salma Hayek
Sigourney Weaver
Kathy Bates
Lucy Liu
Amy Adams
Jeff Bridges
Ben Kingsley
Tommy Lee Jones
Robert Redford
Jack Lemmon
Christopher Plummer
George C. Scott
Joaquin Phoenix
Christopher Walken
Philip Seymour Hoffman
George Clooney
Gene Hackman
Bruce Willis
Sean Connery
Ian McKellen
Russell Crowe
Bill Murray
Nicolas Cage
Joe Pesci
Brad Pitt
Kevin Costner
Donald Sutherland
Clint Eastwood
Michael Douglas
Robert Downey Jr.
Ava Gardner
Sally Field
Doris Day
Shirley MacLaine
Holly Hunter
Hilary Swank
Claudette Colbert
Diane Lane
Jessica Lange
Gloria Swanson
Lauren Bacall
Frances McDormand
Norma Shearer
Bette Midler
Mary Tyler Moore
Anna Magnani
Judi Dench
Sharon Stone
Kim Basinger
Glenda Jackson
Donna Reed
Demi Moore
Anne Hathaway
Liza Minnelli
Geena Davis
Peter Sellers
Woody Allen
Mel Gibson
Jim Carrey
Mark Wahlberg
Steve Martin
Javier Bardem
Christoph Waltz
Tim Robbins
Arnold Schwarzenegger
Sylvester Stallone
Viggo Mortensen
Christopher Lee
Geoffrey Rush
Alec Guinness
Richard Burton
Alec Baldwin
James Caan
Chiwetel Ejiofor
Mads Mikkelsen
Ben Stiller
Willem Dafoe
Ed Harris
Harvey Keitel
Jon Voight
Drew Barrymore
Winona Ryder
Kathleen Turner
Uma Thurman
Rene Russo
Whoopi Goldberg
Annette Bening
Maggie Smith
Barbra Streisand
Jennifer Lawrence
Joanne Woodward
Mercedes McCambridge
Anjelica Huston
Dianne Wiest
Goldie Hawn
Claudia Cardinale
Gwyneth Paltrow
Charlize Theron
Debra Winger
Marion Cotillard
Christina Ricci
Juliette Binoche
Daryl Hannah
Shirley Booth
Reese Witherspoon
Benicio Del Toro
Kevin Bacon
Patrick Swayze
Michael Caine
Robert Duvall
